"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
244630428,"2016-02-29 15:52:59 GMT",51.3393,3.81975,126.8,0.2,511,0,0,"NO LIMIT","PI2203",79,90,20,7,5,1.5,"WINTAM","07-10 17:00"
236465000,"2016-02-29 15:53:15 GMT",60.35607,26.6457,218.3,15.4,216,0,9386976,"WYBELSUM","ZDIN2",79,144,18,19,6,9.9,"WILHELMSHAVEN","03-04 05:00"
636091798,"2016-02-29 15:51:42 GMT",-17.47561,118.75818,210.4,10.7,210,0,9505833,"E.R.BRANDENBURG","A8SZ5",70,247,45,15,29,10.8,"AU PHE","03-02 00:00"
352451000,"2016-02-29 15:53:10 GMT",9.03485,-15.45139,134.7,13.4,135,0,9568172,"PHOENIX BEACON","3FZO7",80,204,40,29,13,8.2,"EBOK TERMINAL","03-06 00:00"
244020160,"2016-02-29 15:52:56 GMT",52.42628,4.83738,0,0,511,5,0,"VONDEL","PD2572",69,1,19,2,2,0.2,"AMS NOORD","00-00 24:60"
338202034,"2016-02-29 15:50:04 GMT",26.11152,-80.10707,307.3,0,511,0,0,"ABSOLUTELY","",37,10,4,3,1,0,"","00-00 00:00"
244670412,"2016-02-29 15:53:12 GMT",52.00621,5.10468,0,0,16,0,0,"HENJA","PD4193",0,57,10,5,2,0.3,"GROBBENDONK,:,:<:-:","06-29 07:00"
371228000,"2016-02-29 15:44:16 GMT",39.21838,1.40567,278.5,19.1,279,0,9290531,"MSC PAMELA","3EBT6",71,261,76,22,24,13.6," VALENCIA","02-29 22:00"
244670751,"2016-02-29 15:53:13 GMT",51.97691,5.90675,271.3,0,511,15,0,"NOBILING","PI4666",52,7,23,5,2,0.2,"NOORDPOOL","12-12 12:00"
236529000,"2016-02-29 15:51:11 GMT",51.89491,4.36625,272.2,0,16,5,9494216,"LEMONIA","ZDJJ3",80,119,21,7,14,8,"ROTTERDAM","02-27 04:00"
211626510,"2016-02-29 15:53:08 GMT",49.07793,8.33846,231.5,4,511,0,0,"JUDITH","DB7900",80,90,20,7,4,0.2,"DEKAE03914TERMC00020","03-03 21:24"
228329800,"2016-02-29 15:52:17 GMT",1.79627,102.45998,116,14.2,115,0,9391531,"TAMARIN","FNQG",89,149,34,12,20,10.3,"SINGAPORE","03-01 04:00"
265878000,"2016-02-29 15:52:33 GMT",59.31857,18.08271,174.8,0.1,286,5,5044893,"BIRGER JARL","SIAU",60,35,57,5,9,5.1,"STOCKHOLM","12-13 14:00"
413378980,"2016-02-29 15:46:00 GMT",26.0225,119.49758,309.6,0,220,5,9224398,"CAI HONG NV SHEN","BIBX7",82,70,17,6,8,6,"FUZHOU","01-29 09:00"
232003233,"2016-02-29 15:53:17 GMT",51.44472,0.39639,0.1,0,271,0,8914685,"SVITZER MERCIA","MMJY5",53,20,12,5,5,5.4,"NEWCASTLE","03-02 12:00"
367349860,"2016-02-29 15:53:15 GMT",30.18301,-93.31099,0.1,0,56,5,9398565,"LINDA MORAN","WDE4187",74,124,32,11,13,5.2,"LAKE CHARLES,LA","02-22 12:00"
431200271,"2016-02-29 15:52:12 GMT",35.59254,139.93595,240,0.2,317,1,9018397,"HEKIRYUMARU","JH3274",70,48,67,13,5,5,">JP FNB OFF","02-29 12:40"
316013477,"2016-02-29 15:53:16 GMT",49.27237,-123.11693,0,0,511,0,0,"REWARD","CFG7520",37,14,17,3,3,0,"","00-00 00:00"
